"YEAR","MONTH_NUM","MONTH_MON","FLT_DATE","ENTITY_NAME","ENTITY_TYPE","FLT_ERT_1","DLY_ERT_1","DLY_ERT_A_1","DLY_ERT_C_1","DLY_ERT_D_1","DLY_ERT_E_1","DLY_ERT_G_1","DLY_ERT_I_1","DLY_ERT_M_1","DLY_ERT_N_1","DLY_ERT_O_1","DLY_ERT_P_1","DLY_ERT_R_1","DLY_ERT_S_1","DLY_ERT_T_1","DLY_ERT_V_1","DLY_ERT_W_1","DLY_ERT_NA_1","FLT_ERT_1_DLY","FLT_ERT_1_DLY_15"
"2015",2,"FEB",01-FEB-15,"ANA LUX","ANSP (AUA)",123,,,,,,,,,,,,,,,,,,,
"2015",2,"FEB",01-FEB-15,"ANS CR","ANSP (AUA)",1526,,,,,,,,,,,,,,,,,,,
"2015",2,"FEB",01-FEB-15,"ARMATS","ANSP (AUA)",115,,,,,,,,,,,,,,,,,,,
"2015",2,"FEB",01-FEB-15,"Albcontrol","ANSP (AUA)",388,,,,,,,,,,,,,,,,,,,
"2015",2,"FEB",01-FEB-15,"Austro Control","ANSP (AUA)",1914,,,,,,,,,,,,,,,,,,,
"2015",2,"FEB",01-FEB-15,"Avinor","ANSP (AUA)",1342,,,,,,,,,,,,,,,,,,,
"2015",2,"FEB",01-FEB-15,"BULATSA","ANSP (AUA)",1575,,,,,,,,,,,,,,,,,,,
"2015",2,"FEB",01-FEB-15,"Belgocontrol","ANSP (AUA)",1139,,,,,,,,,,,,,,,,,,,
"2015",2,"FEB",01-FEB-15,"Croatia Control","ANSP (AUA)",966,,,,,,,,,,,,,,,,,,,
"2015",2,"FEB",01-FEB-15,"DCAC Cyprus","ANSP (AUA)",774,1417,0,1417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,37
"2015",2,"FEB",01-FEB-15,"DFS","ANSP (AUA)",5990,,,,,,,,,,,,,,,,,,,
"2015",2,"FEB",01-FEB-15,"DHMI","ANSP (AUA)",2772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2015",2,"FEB",01-FEB-15,"DSNA","ANSP (AUA)",6171,565,0,565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,16
"2015",2,"FEB",01-FEB-15,"EANS","ANSP (AUA)",429,,,,,,,,,,,,,,,,,,,
"2015",2,"FEB",01-FEB-15,"ENAIRE","ANSP (AUA)",3697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2015",2,"FEB",01-FEB-15,"ENAV","ANSP (AUA)",3186,,,,,,,,,,,,,,,,,,,
"2015",2,"FEB",01-FEB-15,"EUROCONTROL Area (MS)","AREA (AUA)",20851,2153,0,2153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,58
"2015",2,"FEB",01-FEB-15,"Finavia","ANSP (AUA)",525,,,,,,,,,,,,,,,,,,,
"2015",2,"FEB",01-FEB-15,"HCAA","ANSP (AUA)",1267,,,,,,,,,,,,,,,,,,,
"2015",2,"FEB",01-FEB-15,"HungaroControl (EC)","ANSP (AUA)",1491,,,,,,,,,,,,,,,,,,,
"2015",2,"FEB",01-FEB-15,"IAA","ANSP (AUA)",1356,,,,,,,,,,,,,,,,,,,
"2015",2,"FEB",01-FEB-15,"LFV","ANSP (AUA)",1593,,,,,,,,,,,,,,,,,,,
"2015",2,"FEB",01-FEB-15,"LGS","ANSP (AUA)",551,,,,,,,,,,,,,,,,,,,
"2015",2,"FEB",01-FEB-15,"LPS","ANSP (AUA)",929,,,,,,,,,,,,,,,,,,,
"2015",2,"FEB",01-FEB-15,"LVNL","ANSP (AUA)",1278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2015",2,"FEB",01-FEB-15,"M-NAV","ANSP (AUA)",225,,,,,,,,,,,,,,,,,,,
"2015",2,"FEB",01-FEB-15,"MATS","ANSP (AUA)",247,,,,,,,,,,,,,,,,,,,
"2015",2,"FEB",01-FEB-15,"MUAC","ANSP (AUA)",3983,,,,,,,,,,,,,,,,,,,
"2015",2,"FEB",01-FEB-15,"MoldATSA","ANSP (AUA)",108,,,,,,,,,,,,,,,,,,,
"2015",2,"FEB",01-FEB-15,"NATS (Continental)","ANSP (AUA)",5098,,,,,,,,,,,,,,,,,,,
"2015",2,"FEB",01-FEB-15,"NAV Portugal (Continental)","ANSP (AUA)",1297,171,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5
"2015",2,"FEB",01-FEB-15,"NAVIAIR","ANSP (AUA)",1505,,,,,,,,,,,,,,,,,,,
"2015",2,"FEB",01-FEB-15,"Oro Navigacija","ANSP (AUA)",514,,,,,,,,,,,,,,,,,,,
"2015",2,"FEB",01-FEB-15,"PANSA","ANSP (AUA)",1499,,,,,,,,,,,,,,,,,,,
"2015",2,"FEB",01-FEB-15,"ROMATSA","ANSP (AUA)",1347,,,,,,,,,,,,,,,,,,,
"2015",2,"FEB",01-FEB-15,"SAKAERONAVIGATSIA","ANSP (AUA)",309,,,,,,,,,,,,,,,,,,,
"2015",2,"FEB",01-FEB-15,"SES Area (RP1)","AREA (AUA)",19474,2153,0,2153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,58
"2015",2,"FEB",01-FEB-15,"SMATSA","ANSP (AUA)",1136,,,,,,,,,,,,,,,,,,,
"2015",2,"FEB",01-FEB-15,"Skyguide","ANSP (AUA)",2623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2015",2,"FEB",01-FEB-15,"Slovenia Control","ANSP (AUA)",488,,,,,,,,,,,,,,,,,,,
"2015",2,"FEB",01-FEB-15,"UkSATSE","ANSP (AUA)",459,,,,,,,,,,,,,,,,,,,
"2015",2,"FEB",02-FEB-15,"ANA LUX","ANSP (AUA)",173,,,,,,,,,,,,,,,,,,,
"2015",2,"FEB",02-FEB-15,"ANS CR","ANSP (AUA)",1563,,,,,,,,,,,,,,,,,,,
"2015",2,"FEB",02-FEB-15,"ARMATS","ANSP (AUA)",128,,,,,,,,,,,,,,,,,,,
"2015",2,"FEB",02-FEB-15,"Albcontrol","ANSP (AUA)",334,,,,,,,,,,,,,,,,,,,
"2015",2,"FEB",02-FEB-15,"Austro Control","ANSP (AUA)",1905,,,,,,,,,,,,,,,,,,,
"2015",2,"FEB",02-FEB-15,"Avinor","ANSP (AUA)",1755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2015",2,"FEB",02-FEB-15,"BULATSA","ANSP (AUA)",1452,,,,,,,,,,,,,,,,,,,
"2015",2,"FEB",02-FEB-15,"Belgocontrol","ANSP (AUA)",1471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2015",2,"FEB",02-FEB-15,"Croatia Control","ANSP (AUA)",894,,,,,,,,,,,,,,,,,,,
"2015",2,"FEB",02-FEB-15,"DCAC Cyprus","ANSP (AUA)",676,,,,,,,,,,,,,,,,,,,
"2015",2,"FEB",02-FEB-15,"DFS","ANSP (AUA)",6613,184,0,0,0,0,0,0,0,0,0,0,0,184,0,0,0,0,18,5
"2015",2,"FEB",02-FEB-15,"DHMI","ANSP (AUA)",2762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2015",2,"FEB",02-FEB-15,"DSNA","ANSP (AUA)",6453,382,0,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,13
"2015",2,"FEB",02-FEB-15,"EANS","ANSP (AUA)",471,,,,,,,,,,,,,,,,,,,
"2015",2,"FEB",02-FEB-15,"ENAIRE","ANSP (AUA)",3580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2015",2,"FEB",02-FEB-15,"ENAV","ANSP (AUA)",3292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2015",2,"FEB",02-FEB-15,"EUROCONTROL Area (MS)","AREA (AUA)",23904,915,0,382,0,0,0,0,0,0,0,0,0,184,0,0,349,0,72,32
"2015",2,"FEB",02-FEB-15,"Finavia","ANSP (AUA)",679,,,,,,,,,,,,,,,,,,,
"2015",2,"FEB",02-FEB-15,"HCAA","ANSP (AUA)",1119,,,,,,,,,,,,,,,,,,,
"2015",2,"FEB",02-FEB-15,"HungaroControl (EC)","ANSP (AUA)",1510,,,,,,,,,,,,,,,,,,,
"2015",2,"FEB",02-FEB-15,"IAA","ANSP (AUA)",1330,,,,,,,,,,,,,,,,,,,
"2015",2,"FEB",02-FEB-15,"LFV","ANSP (AUA)",1904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2015",2,"FEB",02-FEB-15,"LGS","ANSP (AUA)",573,,,,,,,,,,,,,,,,,,,
"2015",2,"FEB",02-FEB-15,"LPS","ANSP (AUA)",942,,,,,,,,,,,,,,,,,,,
"2015",2,"FEB",02-FEB-15,"LVNL","ANSP (AUA)",1427,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349,0,26,14
"2015",2,"FEB",02-FEB-15,"M-NAV","ANSP (AUA)",192,,,,,,,,,,,,,,,,,,,
"2015",2,"FEB",02-FEB-15,"MATS","ANSP (AUA)",226,,,,,,,,,,,,,,,,,,,
"2015",2,"FEB",02-FEB-15,"MUAC","ANSP (AUA)",4161,,,,,,,,,,,,,,,,,,,
