"YEAR","MONTH_NUM","MONTH_MON","FLT_DATE","ENTITY_NAME","ENTITY_TYPE","FLT_ERT_1","DLY_ERT_1","DLY_ERT_A_1","DLY_ERT_C_1","DLY_ERT_D_1","DLY_ERT_E_1","DLY_ERT_G_1","DLY_ERT_I_1","DLY_ERT_M_1","DLY_ERT_N_1","DLY_ERT_O_1","DLY_ERT_P_1","DLY_ERT_R_1","DLY_ERT_S_1","DLY_ERT_T_1","DLY_ERT_V_1","DLY_ERT_W_1","DLY_ERT_NA_1","FLT_ERT_1_DLY","FLT_ERT_1_DLY_15"
"2016",9,"SEP",01-SEP-16,"ANA LUX","ANSP (AUA)",210,,,,,,,,,,,,,,,,,,,
"2016",9,"SEP",01-SEP-16,"ANS CR","ANSP (AUA)",2594,,,,,,,,,,,,,,,,,,,
"2016",9,"SEP",01-SEP-16,"ARMATS","ANSP (AUA)",150,,,,,,,,,,,,,,,,,,,
"2016",9,"SEP",01-SEP-16,"Albcontrol","ANSP (AUA)",655,,,,,,,,,,,,,,,,,,,
"2016",9,"SEP",01-SEP-16,"Austro Control","ANSP (AUA)",3047,,,,,,,,,,,,,,,,,,,
"2016",9,"SEP",01-SEP-16,"Avinor","ANSP (AUA)",2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2016",9,"SEP",01-SEP-16,"BULATSA","ANSP (AUA)",2609,,,,,,,,,,,,,,,,,,,
"2016",9,"SEP",01-SEP-16,"Belgocontrol","ANSP (AUA)",1949,732,0,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,10
"2016",9,"SEP",01-SEP-16,"Croatia Control","ANSP (AUA)",1900,,,,,,,,,,,,,,,,,,,
"2016",9,"SEP",01-SEP-16,"DCAC Cyprus","ANSP (AUA)",1134,2412,0,988,0,0,0,0,0,0,0,0,0,1424,0,0,0,0,123,68
"2016",9,"SEP",01-SEP-16,"DFS","ANSP (AUA)",9258,3041,0,1692,0,0,0,0,0,0,0,0,0,1349,0,0,0,0,271,59
"2016",9,"SEP",01-SEP-16,"DHMI","ANSP (AUA)",4277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2016",9,"SEP",01-SEP-16,"DSNA","ANSP (AUA)",10107,2629,0,2591,0,0,0,0,0,0,38,0,0,0,0,0,0,0,198,67
